Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C10, C11, C17, C18, C2, C20, C3, C4, C5, C6, C7, C8",0402,13,0.1uF,
C1,1812,1,47uF,
"C12, C9",0402,2,1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
C19,0402,1,10nF,
C2_2,1812,1,470uF,
C21,0402,1,2.2uF,
"D1_2, D2, D3_2",0603,3,LED,
"D1, D2_2, D3, D4",2010,4,1N4007,
"D5, D6",1210,2,LED,
J1_2,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_Switch,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2_2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
"J2, J3_2",PinHeader_2x02_P2.54mm_Vertical,2,Conn_02x02_Counter_Clockwise,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1_2, R2",1206,2,560,
"R1, R2_2",0402,2,5.1K,
"R10, R8, R9",0402,3,680,
"R3, R4",0402,2,27,
"R5, R7",0402,2,1K,
R6,0402,1,10K,
SW1_2,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
SW1,SW_E-Switch_EG1224_SPDT_Angled,1,SW_DPDT_x2,
U1_2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U1,TO-252-2,1,LM7805_TO220,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
U4,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
